brain,brain_longname,condition,batch
an011,an011,acquisition_day1,202010_cfos
an012,an012,acquisition_day1,202010_cfos
an013,an013,acquisition_day1,202010_cfos
an014,an014,acquisition_day1,202010_cfos
an015,an015,acquisition_day1,202010_cfos
an016,an016,acquisition_day1,202010_cfos
an017,an017,acquisition_day1,202010_cfos
an018,an018,acquisition_day1,202010_cfos
an019,an019,acquisition_day1,202010_cfos
an020,an020,acquisition_day1,202010_cfos
an021,an021,acquisition_day2,202010_cfos
an022,an022,acquisition_day2,202010_cfos
an023,an023,acquisition_day2,202010_cfos
an024,an024,acquisition_day2,202010_cfos
an025,an025,acquisition_day2,202010_cfos
an026,an026,acquisition_day2,202010_cfos
an027,an027,acquisition_day2,202010_cfos
an028,an028,acquisition_day2,202010_cfos
an029,an029,acquisition_day2,202010_cfos
an030,an030,acquisition_day2,202010_cfos
an1,an1,CNO_control_no_reversal,201904_ymaze_cfos
an2,an2,CNO_control_no_reversal,201904_ymaze_cfos
an3,an3,CNO_control_no_reversal,201904_ymaze_cfos
an4,an4,CNO_control_no_reversal,201904_ymaze_cfos
an5,an5,CNO_control_no_reversal,201904_ymaze_cfos
an6,an6,CNO_control_no_reversal,201904_ymaze_cfos
an7,an7,CNO_control_no_reversal,201904_ymaze_cfos
an8,an8,CNO_control_no_reversal,201904_ymaze_cfos
an10,an10,CNO_control_reversal,201904_ymaze_cfos
an11,an11,CNO_control_reversal,201904_ymaze_cfos
an12,an12,CNO_control_reversal,201904_ymaze_cfos
an13,an13,CNO_control_reversal,201904_ymaze_cfos
an14,an14,CNO_control_reversal,201904_ymaze_cfos
an15,an15,CNO_control_reversal,201904_ymaze_cfos
an16,an16,CNO_control_reversal,201904_ymaze_cfos
an17,an17,CNO_control_reversal,201904_ymaze_cfos
an18,an18,CNO_control_reversal,201904_ymaze_cfos
an9,an9,CNO_control_reversal,201904_ymaze_cfos
an19,an19,CNO_control_reversal,201908_tpham_ymaze_cfos
an20,an20,CNO_control_reversal,201908_tpham_ymaze_cfos
an21,an21,CNO_control_reversal,201908_tpham_ymaze_cfos
an22,an22,CNO_control_reversal,201908_tpham_ymaze_cfos
an23,an23,CNO_control_reversal,201908_tpham_ymaze_cfos
an24,an24,CNO_control_reversal,201908_tpham_ymaze_cfos
