,brain,batch,condition,Telencephalon,Diencephalon,Mesencephalon,Metencephalon(no_cerebellum)
0,an011,202010_cfos,acquisition_day1,0.5655551769459183,0.1592269872949423,0.1999415859416833,0.07527624981745606
1,an012,202010_cfos,acquisition_day1,0.56707195341069,0.14443757334359128,0.20419342744036345,0.08429704580535524
2,an013,202010_cfos,acquisition_day1,0.5042357483533954,0.18124006359300476,0.20850556438791734,0.10601862366568249
3,an014,202010_cfos,acquisition_day1,0.5333765427691023,0.18521468315216497,0.22408669716959886,0.05732207690913385
4,an015,202010_cfos,acquisition_day1,0.577020464910101,0.13462378013150736,0.2064356668390546,0.08192008811933722
5,an016,202010_cfos,acquisition_day1,0.5265040071633955,0.17389031328732002,0.21099759180881297,0.08860808774047152
6,an017,202010_cfos,acquisition_day1,0.49110717467208664,0.21217861421418552,0.21795357504889262,0.0787606360648352
7,an018,202010_cfos,acquisition_day1,0.5631558875358355,0.14793140632808185,0.1956616080587044,0.09325109807737829
8,an019,202010_cfos,acquisition_day1,0.5412580119754866,0.16503790675056537,0.21180909527659625,0.0818949859973518
9,an020,202010_cfos,acquisition_day1,0.5200692586179757,0.1771317773993675,0.19689337893336004,0.10590558504929669
0,an021,202010_cfos,acquisition_day2,0.507143738433066,0.18010281719103435,0.2096401398313798,0.10311330454451985
1,an022,202010_cfos,acquisition_day2,0.5654701022816679,0.126485051140834,0.22521636506687648,0.08282848151062155
2,an023,202010_cfos,acquisition_day2,0.5864463442219413,0.12648027410019294,0.19252711063801478,0.09454627103985097
3,an024,202010_cfos,acquisition_day2,0.5264563678177571,0.13324158412255763,0.23917570577476777,0.10112634228491751
4,an025,202010_cfos,acquisition_day2,0.5295009926610007,0.14111401101965246,0.23234959512815365,0.09703540119119321
5,an026,202010_cfos,acquisition_day2,0.5889388040331437,0.12067485275032445,0.18975741239892183,0.10062893081761007
6,an027,202010_cfos,acquisition_day2,0.4868647372413277,0.1931348354219416,0.24447934361078172,0.07552108372594896
7,an028,202010_cfos,acquisition_day2,0.6425985638266305,0.08868271646456054,0.191034796542106,0.07768392316670293
8,an029,202010_cfos,acquisition_day2,0.5064610966771503,0.15328866402297278,0.14046902775878573,0.1997812115410912
9,an030,202010_cfos,acquisition_day2,0.4557518183167582,0.15710256790856464,0.32132996882885556,0.06581564494582158
0,an001,202010_cfos,habituation,0.5902251537809555,0.1254500138465799,0.19570672104596226,0.08861811132650235
1,an002,202010_cfos,habituation,0.589539231841805,0.12760647737355812,0.18921124350361263,0.09364304728102421
2,an003,202010_cfos,habituation,0.5790523535324414,0.16073056514387676,0.1796180428396668,0.08059903848401499
3,an004,202010_cfos,habituation,0.6115007631854478,0.14666405964199664,0.16584461291990968,0.07599056425264591
4,an005,202010_cfos,habituation,0.6708112206216832,0.1010439143873564,0.126739371318598,0.10140549367236251
5,an006,202010_cfos,habituation,0.6446210277057368,0.10497933843184336,0.16252661462029808,0.08787301924212174
6,an007,202010_cfos,habituation,0.5746469841519113,0.1382749008676534,0.20923141350293797,0.07784670147749728
7,an008,202010_cfos,habituation,0.6718151588120629,0.10365783740396743,0.14063754156633412,0.08388946221763559
8,an009,202010_cfos,habituation,0.6052556548184755,0.10640800228093518,0.23073084964835583,0.057605493252233415
9,an010,202010_cfos,habituation,0.5722735808830868,0.1392490043274334,0.22716757237337495,0.061309842416104945
0,an1,201904_ymaze_cfos,CNO_control_no_reversal,0.7318376441655838,0.06732179144580906,0.12174658865880501,0.07909397572980216
1,an2,201904_ymaze_cfos,CNO_control_no_reversal,0.7048676060186572,0.08351097707742722,0.11985678666074633,0.09176463024316933
2,an3,201904_ymaze_cfos,CNO_control_no_reversal,0.7895890827536398,0.05571596913369065,0.08469532823963204,0.0699996198730376
3,an4,201904_ymaze_cfos,CNO_control_no_reversal,0.7088095347819074,0.08240397244176133,0.12553284637894882,0.08325364639738243
4,an5,201904_ymaze_cfos,CNO_control_no_reversal,0.7541772392417039,0.09290176115019061,0.10756019935159271,0.04536080025651277
5,an6,201904_ymaze_cfos,CNO_control_no_reversal,0.7118329556239953,0.08935828151936002,0.12461696399170977,0.07419179886493502
6,an7,201904_ymaze_cfos,CNO_control_no_reversal,0.7062275402998365,0.09656394832114003,0.12718697015192673,0.07002154122709675
7,an8,201904_ymaze_cfos,CNO_control_no_reversal,0.7172448767893779,0.08530923676263802,0.10557617390101658,0.09186971254696756
0,an10,201904_ymaze_cfos,CNO_control_reversal,0.6843500714713884,0.10355281966154839,0.1321269654631807,0.0799701434038825
1,an11,201904_ymaze_cfos,CNO_control_reversal,0.6317544182998506,0.09440724130163217,0.17938604574962627,0.09445229464889107
2,an12,201904_ymaze_cfos,CNO_control_reversal,0.7448672198286252,0.08561453782275723,0.11439824297644634,0.05511999937217127
3,an13,201904_ymaze_cfos,CNO_control_reversal,0.6606229494642769,0.1218577242952546,0.13624200925254332,0.08127731698792509
4,an14,201904_ymaze_cfos,CNO_control_reversal,0.7239021995458889,0.11391175516573303,0.12155274439155248,0.040633300896825604
5,an15,201904_ymaze_cfos,CNO_control_reversal,0.6047198159025524,0.13966426843173346,0.18621156174188935,0.06940435392382473
6,an16,201904_ymaze_cfos,CNO_control_reversal,0.5548268303063436,0.1429591547815991,0.20368118042805833,0.09853283448399901
7,an17,201904_ymaze_cfos,CNO_control_reversal,0.6310268485416255,0.1473363608484324,0.15706081776515612,0.06457597284478594
8,an18,201904_ymaze_cfos,CNO_control_reversal,0.6074600269813367,0.1690169126328927,0.1647749270758435,0.058748133309927064
9,an9,201904_ymaze_cfos,CNO_control_reversal,0.6397222254889278,0.08542565827384663,0.16300142297696188,0.11185069326026366
0,an29,201904_ymaze_cfos,homecage_control,0.717315884367786,0.09376859744584057,0.12799157136202735,0.06092394682434607
1,an30,201904_ymaze_cfos,homecage_control,0.730490570610775,0.09329266885185356,0.11349314436083284,0.06272361617653847
2,an31,201904_ymaze_cfos,homecage_control,0.7490309552116823,0.09751678553527905,0.10537758692969847,0.048074672323340256
3,an32,201904_ymaze_cfos,homecage_control,0.7047468342564018,0.10461109257058006,0.14102323732671374,0.049618835846304415
4,an33,201904_ymaze_cfos,homecage_control,0.7533159731841099,0.0762664598223355,0.11540990267235489,0.0550076643211997
0,an19,201904_ymaze_cfos,lobVI_reversal,0.6829490189501929,0.0872798926714741,0.13844960590306893,0.09132148247526413
1,an21,201904_ymaze_cfos,lobVI_reversal,0.6971954940154893,0.08370980990377845,0.1406506688570758,0.07844402722365641
2,an22,201904_ymaze_cfos,lobVI_reversal,0.7160607022895301,0.06697289149890645,0.13571246472227316,0.08125394148929033
3,an23,201904_ymaze_cfos,lobVI_reversal,0.5710008673997594,0.10658757473161905,0.20744844567559248,0.11496311219302909
4,an24,201904_ymaze_cfos,lobVI_reversal,0.6790216984661429,0.07478488589599701,0.17977615662800847,0.0664172590098516
5,an25,201904_ymaze_cfos,lobVI_reversal,0.6857510919084787,0.09918183759060036,0.15227012024562966,0.06279695025529128
