,brain,batch,condition,Olfactory areas (T),Isocortex (T),Cortical subplate (T),Hippocampal formation (T),Cerebral nuclei (T),Thalamus (D),Hypothalamus (D),"Midbrain, motor related (Mes)","Midbrain, sensory related (Mes)","Midbrain, behavioral state related (Mes)",Medulla (Met),Pons (Met)
0,an011,202010_cfos,acquisition_day1,0.045715326947105374,0.1641399416909621,0.03505830903790087,0.1288837984173261,0.2310651811745106,0.054633486047480216,0.11566014160766347,0.12081945022907122,0.017195960016659725,0.006320283215326947,0.022011661807580175,0.05849645980841316
1,an012,202010_cfos,acquisition_day1,0.03124097975341223,0.16078718403364808,0.03882829574038184,0.12975753577172075,0.23966537462372686,0.04944641458084203,0.10344934229516309,0.1276081398705208,0.01566945692961115,0.014313842728134922,0.03225124737124242,0.05698218630159581
2,an013,202010_cfos,acquisition_day1,0.0469866774274412,0.11894324302842434,0.05435413953545247,0.13478481507975812,0.18789779709825932,0.038775472770960585,0.1563858471358609,0.12473327341538423,0.013548793387014925,0.009427905867679158,0.03135909805144384,0.0828029372023209
3,an014,202010_cfos,acquisition_day1,0.062216453791923546,0.145104864163299,0.054653255066222234,0.14442051856877378,0.16648476446122534,0.08560219462552728,0.11332999026577387,0.13287513642665408,0.024842924987463495,0.008902392259815345,0.011976047904191617,0.04959145747913041
4,an015,202010_cfos,acquisition_day1,0.05188493939967117,0.13791121651704522,0.039997672016179486,0.1567387856654396,0.23847284261374382,0.043198649769384104,0.10262043678796433,0.10747282806384495,0.025040375969387012,0.007929694888620524,0.025636921823393326,0.06309563648532643
5,an016,202010_cfos,acquisition_day1,0.04170162778989763,0.14178433581856975,0.046634142833169516,0.14326468966509243,0.19398628724857958,0.06019106753290341,0.1271965574281399,0.11790688754105434,0.024243041737587803,0.007605542636588114,0.027389542828374847,0.06809627694004267
6,an017,202010_cfos,acquisition_day1,0.05968776151497182,0.11509706881549997,0.0410387998160043,0.15521034809547826,0.16059166809836012,0.06583942495801905,0.1638448450722959,0.12764424542366118,0.016199380400024384,0.009587727708533078,0.023337526809614328,0.06192120328753762
7,an018,202010_cfos,acquisition_day1,0.03948898268657558,0.12793049262576367,0.022753377069049348,0.16157082155968797,0.2517739741954578,0.049734696609894796,0.10879905294088632,0.09655211291425028,0.025762262794810906,0.015699759711936188,0.029215082480111055,0.0707193844115761
8,an019,202010_cfos,acquisition_day1,0.02914759888346657,0.1368956066561596,0.03888245384172316,0.16494819259568705,0.21486938964105096,0.05914335808189178,0.11915386514250992,0.11822342061789112,0.021976213533853622,0.008285386957319814,0.02238130502756521,0.0660932090208812
9,an020,202010_cfos,acquisition_day1,0.06392282760160442,0.12639828779515133,0.04633885334626726,0.1867796845047001,0.1361680177995396,0.052775019054437954,0.1378232518034352,0.1030479401960105,0.02494399150056586,0.007845039302184139,0.045815337475267726,0.06814174962083593
