control,treatment,region,Estimate,Std. Error,z value,Pr(>|z|),fdr_adj_pval,status
control,demonstrator,Abducens nucleus,0.5001923638330161,0.7342682156948053,0.6812120600368169,0.49573731805557397,0.9979519911483261,success
control,demonstrator,Accessory facial motor nucleus,-0.18238885595838716,0.7815721741108632,-0.23336150134295333,0.8154807054078048,0.9979519911483261,success
control,demonstrator,Accessory olfactory bulb,-0.39653529275253735,0.3241113285311913,-1.2234539735144625,0.22115827823359235,0.9007985199454351,success
control,demonstrator,"Accessory olfactory bulb, glomerular layer",-0.7182142479021039,0.47630150167823165,-1.5078983487801343,0.13158054533457553,0.7817942714959967,success
control,demonstrator,"Accessory olfactory bulb, granular layer",-0.12404410724454816,0.3144274627684518,-0.39450786566915036,0.6932061211588749,0.9979519911483261,success
control,demonstrator,"Accessory olfactory bulb, mitral layer",-0.7405551251507775,0.4077132985425665,-1.8163624483135699,0.06931479157499829,0.6203782101397759,success
control,demonstrator,Accessory supraoptic group,-1.3296447004220255,0.47745362608255487,-2.784866692356257,0.005354973371565577,0.22594990007988858,success
control,demonstrator,Agranular insular area,0.026789821119305928,0.08447311767558588,0.3171401962715604,0.7511372256883637,0.9979519911483261,success
control,demonstrator,"Agranular insular area, dorsal part",-0.08041836710046975,0.11424394134543953,-0.7039180034703867,0.48148383897158353,0.9979519911483261,success
control,demonstrator,"Agranular insular area, dorsal part, layer 1",-0.33085045118244133,0.2008172280273003,-1.6475202572633039,0.09945115595580828,0.7159511412546149,success
control,demonstrator,"Agranular insular area, dorsal part, layer 2/3",-0.17047432178256863,0.1690910128372967,-1.0081808543343638,0.3133676474057179,0.9677179991997528,success
control,demonstrator,"Agranular insular area, dorsal part, layer 5",-0.0871737998890965,0.146697941802792,-0.5942401019251204,0.5523515344855687,0.9979519911483261,success
control,demonstrator,"Agranular insular area, dorsal part, layer 6a",0.03712879870121252,0.1182064892200458,0.31410118806672177,0.7534441872189951,0.9979519911483261,success
control,demonstrator,"Agranular insular area, dorsal part, layer 6b",0.11313749727744825,0.17732723141919984,0.6380153593555651,0.5234636818745384,0.9979519911483261,success
control,demonstrator,"Agranular insular area, posterior part",0.254960931527154,0.3277446859436545,0.7779254476485595,0.43661296517471637,0.9979519911483261,success
control,demonstrator,"Agranular insular area, posterior part, layer 1",0.43963571688430914,0.4824742267478684,0.9112107808279968,0.36218432473171447,0.9979519911483261,success
control,demonstrator,"Agranular insular area, posterior part, layer 2/3",0.22402512134103547,0.35258665451221033,0.6353760656397088,0.5251831742369084,0.9979519911483261,success
control,demonstrator,"Agranular insular area, posterior part, layer 5",0.28616769123214825,0.34954227339248706,0.8186926532654949,0.41296178928750904,0.9979519911483261,success
control,demonstrator,"Agranular insular area, posterior part, layer 6a",0.2133769317158697,0.3035048340468487,0.7030429429105338,0.4820289880733023,0.9979519911483261,success
control,demonstrator,"Agranular insular area, posterior part, layer 6b",0.32983590974071647,0.2366700841130544,1.393652733833305,0.16342249590747482,0.8471288563367062,success
control,demonstrator,"Agranular insular area, ventral part",0.021957928273984503,0.17686229232649858,0.1241526839053337,0.9011943850704929,0.9979519911483261,success
control,demonstrator,"Agranular insular area, ventral part, layer 1",-0.2048104796724635,0.32222680739724696,-0.635609685385268,0.5250308551124188,0.9979519911483261,success
control,demonstrator,"Agranular insular area, ventral part, layer 2/3",-0.039810386688123,0.31593092907113096,-0.12600977943238917,0.8997241834160209,0.9979519911483261,success
control,demonstrator,"Agranular insular area, ventral part, layer 5",0.09631078763476172,0.22110629458449732,0.43558591498151983,0.6631371918446747,0.9979519911483261,success
control,demonstrator,"Agranular insular area, ventral part, layer 6a",0.024978755963196615,0.11215618236851131,0.22271403533622403,0.8237580770842267,0.9979519911483261,success
control,demonstrator,"Agranular insular area, ventral part, layer 6b",0.05727048203953331,0.1952260682676355,0.2933546864295868,0.7692510575178286,0.9979519911483261,success
control,demonstrator,Ammon's horn,-0.12220769363913922,0.08405076193722434,-1.4539748459438528,0.1459532801876666,0.8059159384275503,success
control,demonstrator,Ansiform lobule,-0.08796232523708457,0.11757714570976734,-0.7481243459865465,0.45438515829855186,0.9979519911483261,success
control,demonstrator,Anterior amygdalar area,0.08299319481072313,0.42572568036117675,0.19494523971472297,0.8454358173818974,0.9979519911483261,success
control,demonstrator,Anterior cingulate area,0.1787795343826001,0.14787727267290707,1.208972353568127,0.2266734668914605,0.9007985199454351,success
control,demonstrator,"Anterior cingulate area, dorsal part",0.1568412310106462,0.34116106253171447,0.4597278184290629,0.6457115993755047,0.9979519911483261,success
control,demonstrator,"Anterior cingulate area, dorsal part, layer 1",0.19881410524009843,0.34857138137175475,0.5703684119381599,0.5684278494416686,0.9979519911483261,success
control,demonstrator,"Anterior cingulate area, dorsal part, layer 2/3",0.05180809320170101,0.3237285248915169,0.16003561384979026,0.8728530199597379,0.9979519911483261,success
control,demonstrator,"Anterior cingulate area, dorsal part, layer 5",0.17391832263418794,0.3241272930484828,0.5365741372732018,0.5915618127921853,0.9979519911483261,success
control,demonstrator,"Anterior cingulate area, dorsal part, layer 6a",0.22711652667035404,0.32529023905548343,0.6981965623371063,0.4850542760414768,0.9979519911483261,success
